technique,context_length,model,cache_size,niah,rag_hotpotqa,rag_nq,cite_str_em,cite_citation_rec,cite_citation_prec,recall_jsonkv,rerank,summ_multilex,icl_clinic,icl_banking
streamingllm,16k,DeepSeek-R1-Distill-Qwen-7B,n_local_4092_n_init_4,25.0,32.666666666666664,29.666666666666668,9.433333333333334,0.35993589743589743,0.8928571428571428,16.0,0.3101544715447155,,,
streamingllm,16k,DeepSeek-R1-Distill-Qwen-7B,n_local_2044_n_init_4,17.0,27.666666666666668,24.333333333333336,6.816666666666666,1.126984126984127,0.7666666666666666,13.0,0.0,0.005868205868205868,28.199999999999996,40.6
streamingllm,16k,Qwen2.5-7B-Instruct,n_local_4092_n_init_4,25.0,56.666666666666664,52.83333333333333,20.833333333333332,0.0,0.0,23.0,0.748089430894309,0.2035972258238368,68.2,72.39999999999999
streamingllm,16k,Qwen2.5-7B-Instruct,n_local_3968_n_init_128,,52.0,45.5,21.650000000000002,8.737817737817736,21.409632034632033,42.0,32.357821138211385,,,
streamingllm,16k,Qwen2.5-7B-Instruct,n_local_2044_n_init_4,17.0,47.333333333333336,49.666666666666664,13.183333333333334,0.0,0.0,14.000000000000002,0.42944715447154475,0.16996012170657948,39.0,60.4
streamingllm,16k,Llama-3.1-8B-Instruct,n_local_4092_n_init_4,25.0,57.666666666666664,58.166666666666664,13.25,0.0,0.0,23.0,0.3757642276422764,0.275123798417453,82.8,75.6
streamingllm,16k,Llama-3.1-8B-Instruct,n_local_3968_n_init_128,,57.666666666666664,60.16666666666667,19.1,1.352092352092352,5.041666666666666,44.0,7.109178861788617,,,
streamingllm,16k,Llama-3.1-8B-Instruct,n_local_2044_n_init_4,17.0,50.33333333333333,53.333333333333336,11.65,0.0,0.0,14.000000000000002,0.36148780487804877,0.2203769312130878,40.0,66.4
streamingllm,16k,Qwen3-8B-nothinking,n_local_4092_n_init_4,,,,,,,,,0.0,,
streamingllm,16k,Qwen3-8B-nothinking,n_local_2044_n_init_4,,,,,,,,,0.0,,
streamingllm,16k,Yarn-Qwen3-8B-nothinking,n_local_4092_n_init_4,,,,,,,,,0.0,,
streamingllm,16k,Yarn-Qwen3-8B-nothinking,n_local_2044_n_init_4,,,,,,,,,0.0,,
streamingllm,16k,DeepSeek-R1-Distill-Llama-8B,n_local_4092_n_init_4,24.0,46.666666666666664,47.0,18.899999999999995,0.0,0.0,23.0,1.0915040650406505,,80.2,78.2
streamingllm,16k,DeepSeek-R1-Distill-Llama-8B,n_local_2044_n_init_4,17.0,40.666666666666664,45.166666666666664,13.983333333333334,0.0,0.0,14.000000000000002,1.3281219512195124,0.1047924388517099,50.2,67.4
streamingllm,16k,Qwen3-8B,n_local_4092_n_init_4,0.0,0.33333333333333337,0.0,0.25,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.2,0.4
streamingllm,16k,Qwen3-8B,n_local_2044_n_init_4,0.0,0.33333333333333337,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
streamingllm,16k,Yarn-Qwen3-8B,n_local_4092_n_init_4,0.0,1.0,0.16666666666666669,1.0,1.1666666666666667,1.2,0.0,0.0,0.0,0.0,0.2
streamingllm,16k,Yarn-Qwen3-8B,n_local_2044_n_init_4,0.0,0.33333333333333337,0.16666666666666669,1.9,0.25252525252525254,0.25252525252525254,0.0,0.0,0.0,0.4,0.4
streamingllm,32k,DeepSeek-R1-Distill-Qwen-7B,n_local_4092_n_init_4,100.0,10.666666666666668,5.333333333333334,2.2666666666666666,0.0,0.0,0.0,0.0,0.0,11.0,21.2
streamingllm,32k,DeepSeek-R1-Distill-Qwen-7B,n_local_2044_n_init_4,100.0,6.0,2.3333333333333335,3.7666666666666666,0.09090909090909091,0.3333333333333333,2.0,0.16119512195121952,0.0,6.4,11.200000000000001
streamingllm,32k,Qwen3-8B-thinking,n_local_4092_n_init_4,0.0,0.33333333333333337,0.33333333333333337,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.4
streamingllm,32k,Qwen3-8B-thinking,n_local_2044_n_init_4,0.0,0.0,0.0,1.5,2.076923076923077,2.1333333333333333,0.0,0.0,0.0,0.0,0.0
streamingllm,32k,Qwen2.5-7B-Instruct,n_local_4092_n_init_4,7.000000000000001,49.0,42.333333333333336,14.766666666666667,0.0,0.0,14.000000000000002,0.7336341463414634,0.20649168973365842,71.0,63.0
streamingllm,32k,Qwen2.5-7B-Instruct,n_local_3968_n_init_128,,46.0,40.33333333333333,11.616666666666667,3.3492285492285485,14.246825396825397,33.0,20.382211382113823,,,
streamingllm,32k,Qwen2.5-7B-Instruct,n_local_2044_n_init_4,100.0,45.666666666666664,39.83333333333333,7.3999999999999995,0.0,0.0,14.000000000000002,0.13121951219512196,0.1537819217538931,44.0,50.0
streamingllm,32k,Llama-3.1-8B-Instruct,n_local_4092_n_init_4,7.000000000000001,50.33333333333333,53.5,3.5666666666666664,0.0,0.0,14.000000000000002,0.25439024390243903,0.2853709050002887,83.2,71.6
streamingllm,32k,Llama-3.1-8B-Instruct,n_local_3968_n_init_128,,49.666666666666664,60.16666666666667,7.633333333333332,0.0,0.0,35.0,4.947292682926829,,,
streamingllm,32k,Llama-3.1-8B-Instruct,n_local_2044_n_init_4,100.0,47.333333333333336,53.166666666666664,5.1,0.0,0.0,14.000000000000002,0.3161219512195122,0.24113167757972773,47.4,50.4
streamingllm,32k,Yarn-Qwen3-8B-thinking,n_local_4092_n_init_4,0.0,0.33333333333333337,0.0,1.25,1.3333333333333333,1.2,0.0,0.0,0.0,0.2,0.2
