Technique,Llama-3.1-8B-Instruct Drop (pp),R1-Distill-Llama-8B Drop (pp),Advantage (pp)
SnapKV (small),5.700000000000017,0.7999999999999972,4.90000000000002
PyramidKV (small),9.0,2.1999999999999886,6.800000000000011
Average (small cache),7.3500000000000085,1.499999999999993,5.850000000000016
DuoAttention,0.9000000000000057,0.19999999999998863,0.700000000000017
StreamingLLM,6.200000000000017,7.8999999999999915,-1.6999999999999744
