Technique,Mean_Degradation,Std_Degradation,Min_Degradation,Max_Degradation,Num_Tasks
NF4,-1.3825992933016849,1.5803654905103597,-4.410467580412211,0.375,10
Int8,-0.039436197421835704,1.1886919950484505,-3.0,2.0,10
SnapKV,-11.576815114749829,15.762762770243734,-53.57142857142857,0.25,10
PyramidKV,-12.10984950829535,13.92637152756483,-47.5625,0.25,10
StreamingLLM,-22.1825443793767,22.25243519852103,-67.57142857142857,1.2500000000000009,10
DuoAttention,-2.967191390365008,3.7693351897879066,-10.0,0.5,9
