Technique,NIAH,Recall,RAG,ICL,Cite,Re-rank,Summ,Pseudo,HTML,Travel
NF4,0.375,-1.5714285714285714,-0.42708333333333126,-1.0428571428571405,-1.154235318052029,-1.8342018970189624,-0.010719089914602783,0.24999999999999956,-4.410467580412211,-4.000000000000001
Int8,-0.125,-0.2857142857142856,-0.17708333333333104,0.18571428571428733,-0.16733203307359104,0.21469647696477168,0.007370101696491393,2.0,0.9529868135273005,-3.0
SnapKV,-4.875,-53.57142857142857,-2.8229166666666643,-2.114285714285714,-6.82240580720558,-20.999252032520317,-0.04113975108500057,0.25,-20.271722604306433,-4.500000000000001
PyramidKV,-7.875,-47.5625,-5.374999999999999,-5.942857142857141,-9.205875030772907,-21.499253387533873,-0.06459116073127832,0.25,-21.573418361058287,-2.250000000000001
StreamingLLM,-52.75,-67.57142857142857,-13.520833333333334,-11.042857142857143,-5.110271672771673,-40.8275352303523,-0.1262263208821884,1.2500000000000009,-18.126291522141802,-14.0
DuoAttention,0.0,0.5,0.20833333333333215,-0.8999999999999986,-6.8008970952985415,-0.24950813008129913,,-2.0,-7.462650621238568,-10.0
