Technique,niah,recall_jsonkv,rag_hotpotqa,rag_nq,cite_str_em,cite_rec,cite_prec,rerank,icl_clinc,icl_banking,multi_lexsum,pseudo_to_code,html_to_tsv,travel_planning
NF4,0.375,-1.5714285714285714,0.04166666666667007,-0.8958333333333326,-2.6937500000000014,-0.46140143150868534,-0.3075545226474004,-1.8342018970189624,-1.542857142857142,-0.5428571428571389,-0.010719089914602783,0.24999999999999956,-4.410467580412211,-4.000000000000001
Int8,-0.125,-0.2857142857142856,0.08333333333333526,-0.43749999999999734,0.7458333333333349,-1.150980314221135,-0.09684911833297304,0.21469647696477168,0.11428571428571388,0.2571428571428608,0.007370101696491393,2.0,0.9529868135273005,-3.0
SnapKV,-4.875,-53.57142857142857,-3.2916666666666643,-2.3541666666666647,-3.1364583333333322,-9.216827205056969,-8.11393188322644,-20.999252032520317,-2.6857142857142895,-1.5428571428571385,-0.04113975108500057,0.25,-20.271722604306433,-4.500000000000001
PyramidKV,-7.875,-47.5625,-5.479166666666665,-5.270833333333333,-4.6885416666666675,-12.153864380373667,-10.775219045278384,-21.499253387533873,-7.07142857142857,-4.814285714285712,-0.06459116073127832,0.25,-21.573418361058287,-2.250000000000001
StreamingLLM,-52.75,-67.57142857142857,-12.666666666666668,-14.375,-16.275000000000002,0.21158424908424908,0.7326007326007327,-40.8275352303523,-11.742857142857144,-10.342857142857142,-0.1262263208821884,1.2500000000000009,-18.126291522141802,-14.0
DuoAttention,0.0,0.5,-0.5,0.9166666666666643,-6.8916666666666675,-8.392137029637032,-5.118887589591925,-0.24950813008129913,-1.6000000000000085,-0.19999999999998863,,-2.0,-7.462650621238568,-10.0
