technique,context_length,model,cache_size,travel_planning,html_to_tsv,pseudo_to_code
INT8,2k,Qwen2.5-7B-Instruct,default,30.0,37.22589459028905,30.0
baseline,2k,Llama-3.1-8B-Instruct,default,48.0,30.42169313980497,30.0
INT4,2k,Llama-3.1-8B-Instruct,default,32.0,15.458607692215784,34.0
INT8,2k,Llama-3.1-8B-Instruct,default,42.0,29.352317301544208,36.0
baseline,2k,DeepSeek-R1-Distill-Llama-8B,default,28.000000000000004,16.967542820281256,4.0
INT4,2k,DeepSeek-R1-Distill-Llama-8B,default,34.0,22.56943020699355,2.0
INT8,2k,DeepSeek-R1-Distill-Llama-8B,default,28.000000000000004,16.499030363743714,6.0
baseline,2k,Yarn-Qwen3-8B,default,30.0,,18.0
INT4,2k,Yarn-Qwen3-8B,default,42.0,,10.0
minference,8k,Qwen2.5-7B-Instruct,default,0.0,13.313584295966214,
minference,8k,Llama-3.1-8B-Instruct,default,0.0,19.032517668468753,
minference,5k,Qwen2.5-7B-Instruct,default,,52.89492689851127,64.0
minference,5k,Llama-3.1-8B-Instruct,default,,46.985078004088734,54.0
minference,2k,Qwen2.5-7B-Instruct,default,34.0,34.709050652822,28.000000000000004
minference,2k,Llama-3.1-8B-Instruct,default,36.0,23.391598377898276,30.0
streamingllm_original,8k,Qwen2.5-7B-Instruct,default,0.0,16.763434433720125,
streamingllm_original,8k,Llama-3.1-8B-Instruct,default,0.0,24.597996544904703,
streamingllm_original,5k,Qwen2.5-7B-Instruct,default,,55.21939326005035,64.0
streamingllm_original,5k,Llama-3.1-8B-Instruct,default,,50.19556031052744,54.0
streamingllm_original,2k,Qwen2.5-7B-Instruct,default,40.0,33.68229585818331,26.0
streamingllm_original,2k,Llama-3.1-8B-Instruct,default,48.0,30.42169313980497,30.0
duoattn,8k,Llama-3.1-8B-Instruct,sp0.5_pf32768,0.0,26.144167351571845,
duoattn,5k,Llama-3.1-8B-Instruct,sp0.7_pf32768,,,54.0
duoattn,5k,Llama-3.1-8B-Instruct,sp0.5_pf32768,,41.90814856924953,54.0
duoattn,2k,Llama-3.1-8B-Instruct,sp0.5_pf32768,38.0,23.78380363860574,26.0
duoattn,2k,DeepSeek-R1-Distill-Llama-8B,sp0.5_pf32768,32.0,18.28685087370462,2.0
snapkv,8k,Qwen2.5-7B-Instruct,w32_c4096_k7_maxpool,0.0,0.03732925869333704,
snapkv,8k,Qwen2.5-7B-Instruct,w32_c1024_k7_maxpool,0.0,0.0,
snapkv,8k,Llama-3.1-8B-Instruct,w32_c4096_k7_maxpool,0.0,0.05190708195620963,
snapkv,8k,Llama-3.1-8B-Instruct,w32_c1024_k7_maxpool,0.0,0.0,
snapkv,5k,Qwen2.5-7B-Instruct,w32_c4096_k7_maxpool,,18.001251040113765,64.0
snapkv,5k,Qwen2.5-7B-Instruct,w32_c1024_k7_maxpool,,0.05031446540880503,64.0
snapkv,5k,Qwen2.5-7B-Instruct,w32_c4096_k5_avgpool,,17.524830517992914,64.0
snapkv,5k,Llama-3.1-8B-Instruct,w32_c4096_k7_maxpool,,20.33107226499799,54.0
snapkv,5k,Llama-3.1-8B-Instruct,w32_c1024_k7_maxpool,,0.5072635714097392,54.0
snapkv,5k,Llama-3.1-8B-Instruct,w32_c4096_k5_avgpool,,20.261446035927058,54.0
snapkv,2k,DeepSeek-R1-Distill-Qwen-7B,w256_c2048_k7_maxpool,0.0,0.0,6.0
snapkv,2k,DeepSeek-R1-Distill-Qwen-7B,w2048_c8192_k7_maxpool,2.0,0.0,6.0
snapkv,2k,Qwen2.5-7B-Instruct,w32_c4096_k7_maxpool,24.0,2.7582419741290907,26.0
snapkv,2k,Qwen2.5-7B-Instruct,w32_c1024_k7_maxpool,2.0,0.0,26.0
snapkv,2k,Qwen2.5-7B-Instruct,w32_c4096_k5_avgpool,28.000000000000004,2.1860406011648923,26.0
snapkv,2k,Qwen2.5-7B-Instruct,w256_c2048_k7_maxpool,0.0,0.031746031746031744,26.0
snapkv,2k,Qwen2.5-7B-Instruct,w2048_c8192_k7_maxpool,38.0,10.202314252283369,26.0
snapkv,2k,Llama-3.1-8B-Instruct,w32_c4096_k7_maxpool,32.0,0.3618584192825374,30.0
snapkv,2k,Llama-3.1-8B-Instruct,w32_c1024_k7_maxpool,0.0,0.0,30.0
snapkv,2k,Llama-3.1-8B-Instruct,w32_c4096_k5_avgpool,28.000000000000004,0.5967325774125182,30.0
snapkv,2k,Llama-3.1-8B-Instruct,w256_c2048_k7_maxpool,10.0,0.0,30.0
snapkv,2k,Llama-3.1-8B-Instruct,w2048_c8192_k7_maxpool,48.0,8.025452737597329,30.0
snapkv,2k,DeepSeek-R1-Distill-Llama-8B,w64_c512_k7_maxpool,2.0,,
snapkv,2k,DeepSeek-R1-Distill-Llama-8B,w128_c512_k7_maxpool,0.0,,
snapkv,2k,DeepSeek-R1-Distill-Llama-8B,w128_c1024_k7_maxpool,6.0,,
snapkv,2k,DeepSeek-R1-Distill-Llama-8B,w256_c512_k7_maxpool,0.0,,
snapkv,2k,DeepSeek-R1-Distill-Llama-8B,w64_c1024_k7_maxpool,10.0,,
snapkv,2k,DeepSeek-R1-Distill-Llama-8B,w128_c2048_k7_maxpool,22.0,,
snapkv,2k,DeepSeek-R1-Distill-Llama-8B,w64_c2048_k7_maxpool,20.0,,
snapkv,2k,DeepSeek-R1-Distill-Llama-8B,w256_c2048_k7_maxpool,30.0,0.14862832327083997,4.0
snapkv,2k,DeepSeek-R1-Distill-Llama-8B,w256_c1024_k7_maxpool,4.0,,
snapkv,2k,DeepSeek-R1-Distill-Llama-8B,w2048_c8192_k7_maxpool,32.0,7.786658548931583,4.0
snapkv,2k,Yarn-Qwen3-8B,w256_c2048_k7_maxpool,0.0,,
