technique,context_length,model,cache_size,niah,rag_hotpotqa,rag_nq,cite_str_em,cite_citation_rec,cite_citation_prec,recall_jsonkv,rerank,icl_clinic,icl_banking
streamingllm,16k,DeepSeek-R1-Distill-Qwen-7B,n_local_4092_n_init_4,25.0,32.666666666666664,29.666666666666668,9.433333333333334,0.35993589743589743,0.8928571428571428,16.0,0.3101544715447155,,
streamingllm,16k,Qwen2.5-7B-Instruct,n_local_4092_n_init_4,25.0,56.666666666666664,52.83333333333333,20.833333333333332,0.0,0.0,23.0,0.748089430894309,68.2,72.2
streamingllm,16k,Qwen2.5-7B-Instruct,n_local_3968_n_init_128,,52.0,45.5,21.650000000000002,8.737817737817736,21.409632034632033,42.0,32.357821138211385,,
streamingllm,16k,Llama-3.1-8B-Instruct,n_local_4092_n_init_4,25.0,57.666666666666664,58.166666666666664,13.25,0.0,0.0,23.0,0.3757642276422764,82.6,75.0
streamingllm,16k,Llama-3.1-8B-Instruct,n_local_3968_n_init_128,,57.666666666666664,60.16666666666667,19.1,1.352092352092352,5.041666666666666,44.0,7.109178861788617,,
streamingllm,16k,DeepSeek-R1-Distill-Llama-8B,n_local_4092_n_init_4,24.0,46.666666666666664,47.0,18.899999999999995,0.0,0.0,23.0,1.0915040650406505,80.2,78.2
streamingllm,16k,Qwen3-8B,n_local_4092_n_init_4,0.0,,,,,,0.0,,,
streamingllm,16k,Yarn-Qwen3-8B,n_local_4092_n_init_4,0.0,0.0,0.16666666666666669,1.0833333333333333,0.49102132435465773,0.9848484848484848,0.0,0.0,,
streamingllm,32k,Qwen2.5-7B-Instruct,n_local_4092_n_init_4,7.000000000000001,49.0,42.333333333333336,14.766666666666667,0.0,0.0,14.000000000000002,0.7336341463414634,,
streamingllm,32k,Qwen2.5-7B-Instruct,n_local_3968_n_init_128,,46.0,40.33333333333333,11.616666666666667,3.3492285492285485,14.246825396825397,33.0,20.382211382113823,,
streamingllm,32k,Llama-3.1-8B-Instruct,n_local_4092_n_init_4,7.000000000000001,50.33333333333333,53.5,3.5666666666666664,0.0,0.0,14.000000000000002,0.25439024390243903,,
streamingllm,32k,Llama-3.1-8B-Instruct,n_local_3968_n_init_128,,49.666666666666664,60.16666666666667,7.633333333333332,0.0,0.0,35.0,4.947292682926829,,
pyramidkv,16k,DeepSeek-R1-Distill-Qwen-7B,w2048_c8192_k7_avgpool,21.0,33.33333333333333,31.166666666666664,11.516666666666667,0.0,0.0,7.000000000000001,0.0,,
pyramidkv,16k,DeepSeek-R1-Distill-Qwen-7B,w256_c2048_k7_avgpool,6.0,28.000000000000004,30.5,8.133333333333333,0.0,0.0,8.0,0.0,,
pyramidkv,16k,Qwen2.5-7B-Instruct,w2048_c8192_k7_avgpool,61.0,64.0,61.83333333333333,31.95,33.398809523809526,30.137179487179488,19.0,41.962512195121946,77.8,80.2
pyramidkv,16k,Qwen2.5-7B-Instruct,w32_c2048_k5_avgpool,92.0,64.66666666666666,59.333333333333336,25.63333333333333,14.816666666666666,16.775,30.0,0.0,,
pyramidkv,16k,Qwen2.5-7B-Instruct,w32_c4096_k5_avgpool,,64.33333333333333,62.66666666666667,30.233333333333334,24.958333333333332,26.33910256410256,57.99999999999999,0.0,,
pyramidkv,16k,Qwen2.5-7B-Instruct,w32_c64_k5_avgpool,0.0,52.666666666666664,47.66666666666667,9.35,0.0,0.0,0.0,0.0,,
pyramidkv,16k,Qwen2.5-7B-Instruct,w256_c2048_k7_avgpool,66.0,59.66666666666667,55.833333333333336,24.933333333333334,15.233333333333333,18.816666666666666,15.0,14.455560975609757,78.60000000000001,75.0
pyramidkv,16k,Llama-3.1-8B-Instruct,w2048_c8192_k7_avgpool,100.0,64.33333333333333,64.0,42.11666666666667,29.445454545454545,26.826139546727777,75.0,45.91382926829268,88.2,80.80000000000001
pyramidkv,16k,Llama-3.1-8B-Instruct,w32_c2048_k5_avgpool,100.0,64.0,65.16666666666666,32.63333333333334,11.30880230880231,11.762162728339197,67.0,1.6714878048780488,,
pyramidkv,16k,Llama-3.1-8B-Instruct,w32_c4096_k5_avgpool,,64.66666666666666,68.0,37.81666666666666,24.350108225108226,22.89678362573099,96.0,13.194373983739835,,
pyramidkv,16k,Llama-3.1-8B-Instruct,w32_c64_k5_avgpool,33.0,57.333333333333336,57.99999999999999,6.333333333333332,0.0,0.0,0.0,0.0,,
pyramidkv,16k,Llama-3.1-8B-Instruct,w256_c2048_k7_avgpool,98.0,61.33333333333333,64.5,36.95,4.614296814296814,6.577020202020202,32.0,12.387504065040648,80.4,72.39999999999999
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w128_c8192_k5_avgpool,,,,33.849999999999994,4.322236458072371,14.755952380952381,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w64_c8192_k5_avgpool,,,,34.6,4.736074606508043,15.659199134199135,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w2048_c4096_k5_avgpool,,,,33.0,2.5988049459327556,10.76388888888889,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w256_c512_k5_avgpool,,,,17.25,0.0,0.0,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w32_c8192_k5_avgpool,,,,33.483333333333334,4.053502457295027,13.85873015873016,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w128_c1024_k7_avgpool,,,,,,,,,87.2,84.39999999999999
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w128_c256_k5_avgpool,,,,11.350000000000001,0.0,0.0,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w64_c1024_k5_avgpool,,,,11.966666666666667,0.0,0.0,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w64_c4096_k5_avgpool,,,,29.15,1.6873269704152056,5.40079365079365,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w32_c512_k5_avgpool,,,,8.516666666666666,0.0,0.0,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w1024_c4096_k5_avgpool,,,,34.2,2.946388900916765,10.500108225108225,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w256_c512_k7_avgpool,,,,,,,,,82.6,83.39999999999999
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w512_c2048_k5_avgpool,,,,30.11666666666667,0.7108839689722042,2.8,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w128_c512_k5_avgpool,,,,14.666666666666666,0.0,0.0,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w512_c8192_k5_avgpool,,,,30.5,5.218276821217998,14.919119769119767,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w128_c2048_k7_avgpool,,,,,,,,,87.4,84.2
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w1024_c8192_k5_avgpool,,,,35.28333333333333,6.261128757723185,20.227128427128427,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w256_c4096_k5_avgpool,,,,31.133333333333336,2.8303228591154284,11.791305916305916,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w32_c256_k5_avgpool,,,,9.9,0.0,0.0,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w1024_c2048_k5_avgpool,,,,30.433333333333334,1.0099611774534374,4.534126984126984,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w64_c512_k5_avgpool,,,,11.066666666666666,0.0,0.0,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w64_c1024_k7_avgpool,,,,,,,,,85.39999999999999,83.6
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w2048_c8192_k7_avgpool,100.0,55.666666666666664,55.666666666666664,37.733333333333334,5.783054729068661,19.445238095238093,84.0,39.84565853658537,88.6,85.39999999999999
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w128_c1024_k5_avgpool,,,,18.333333333333332,0.11145510835913312,0.5833333333333333,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w64_c512_k7_avgpool,,,,,,,,,86.8,83.6
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w512_c4096_k5_avgpool,,,,35.016666666666666,3.3706691184632356,13.410317460317462,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w256_c1024_k7_avgpool,,,,,,,,,87.8,84.0
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w256_c1024_k5_avgpool,,,,24.966666666666665,0.35238095238095235,1.1666666666666665,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w32_c1024_k5_avgpool,,,,13.033333333333333,0.0,0.0,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w64_c2048_k7_avgpool,,,,,,,,,86.2,84.8
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w256_c2048_k5_avgpool,,,,28.81666666666667,1.2682451320609216,5.909523809523809,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w128_c4096_k5_avgpool,,,,30.55,1.7680009318167216,6.411904761904761,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w256_c8192_k5_avgpool,,,,31.366666666666664,5.3802640986464505,16.457178932178934,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w32_c2048_k5_avgpool,,,,20.733333333333334,0.7097017146939748,2.859523809523809,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w2048_c8192_k5_avgpool,,,,37.36666666666667,6.848972205125456,22.3281746031746,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w32_c4096_k5_avgpool,,,,27.0,2.440508652853854,8.875,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w64_c2048_k5_avgpool,,,,26.766666666666666,0.5519841269841269,1.7694444444444444,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w64_c256_k5_avgpool,,,,6.633333333333333,0.0,0.0,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w32_c128_k5_avgpool,,,,4.3999999999999995,0.0,0.0,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w512_c1024_k5_avgpool,,,,20.53333333333333,0.3031135531135531,1.4166666666666665,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w128_c512_k7_avgpool,,,,,,,,,85.6,83.8
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w32_c64_k5_avgpool,,,,3.5166666666666666,0.0,0.0,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w64_c128_k5_avgpool,,,,3.5666666666666664,0.0,0.0,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w128_c2048_k5_avgpool,,,,22.28333333333333,0.33837818528221003,1.583333333333333,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w256_c2048_k7_avgpool,92.0,53.0,50.33333333333333,25.999999999999996,1.3328580904819296,5.634126984126984,37.0,8.22139837398374,86.0,83.8
pyramidkv,16k,Qwen3-8B,w2048_c8192_k7_avgpool,0.0,,,,,,0.0,,,
pyramidkv,16k,Qwen3-8B,w256_c2048_k7_avgpool,0.0,,,,,,0.0,,,
pyramidkv,16k,Yarn-Qwen3-8B,w8192_c32768_k7_avgpool,0.0,,,,,,,,,
pyramidkv,16k,Yarn-Qwen3-8B,w2048_c16384_k7_avgpool,0.0,,,,,,,,,
pyramidkv,16k,Yarn-Qwen3-8B,w8192_c16384_k7_avgpool,0.0,,,,,,,,,
pyramidkv,16k,Yarn-Qwen3-8B,w2048_c8192_k7_avgpool,0.0,0.6666666666666667,0.16666666666666669,0.5,0.0,0.0,0.0,0.0,,
pyramidkv,16k,Yarn-Qwen3-8B,w4096_c32768_k7_avgpool,0.0,,,,,,,,,
pyramidkv,16k,Yarn-Qwen3-8B,w2048_c32768_k7_avgpool,0.0,,,,,,,,,
pyramidkv,16k,Yarn-Qwen3-8B,w4096_c8192_k7_avgpool,0.0,,,,,,,,,
pyramidkv,16k,Yarn-Qwen3-8B,w256_c2048_k7_avgpool,0.0,0.6666666666666667,0.0,1.2,0.0,0.0,0.0,0.0,,
pyramidkv,16k,Yarn-Qwen3-8B,w4096_c16384_k7_avgpool,0.0,,,,,,,,,
pyramidkv,32k,Qwen2.5-7B-Instruct,w32_c2048_k5_avgpool,87.0,57.666666666666664,54.50000000000001,21.316666666666666,4.500432900432901,10.32857142857143,25.0,0.0,,
pyramidkv,32k,Qwen2.5-7B-Instruct,w32_c4096_k5_avgpool,,60.0,60.83333333333333,20.2,7.876190476190477,12.052380952380952,36.0,0.0,,
pyramidkv,32k,Qwen2.5-7B-Instruct,w32_c64_k5_avgpool,0.0,47.0,41.0,5.999999999999999,0.0,0.0,0.0,0.0,,
pyramidkv,32k,Llama-3.1-8B-Instruct,w32_c2048_k5_avgpool,99.0,62.0,65.83333333333333,19.183333333333334,1.0,1.0,45.0,0.5958780487804878,,
pyramidkv,32k,Llama-3.1-8B-Instruct,w32_c4096_k5_avgpool,,62.66666666666667,65.16666666666666,25.0,0.07692307692307693,0.16666666666666666,77.0,3.0894065040650407,,
pyramidkv,32k,Llama-3.1-8B-Instruct,w32_c64_k5_avgpool,19.0,53.666666666666664,55.166666666666664,2.316666666666667,0.0,0.0,0.0,0.0,,
baseline,16k,DeepSeek-R1-Distill-Qwen-7B,default,36.0,33.33333333333333,34.0,14.316666666666666,0.14835164835164835,0.16025641025641024,8.0,0.0,,
INT4,16k,DeepSeek-R1-Distill-Qwen-7B,default,38.0,32.33333333333333,36.333333333333336,12.716666666666669,0.13392857142857142,0.25396825396825395,4.0,0.0,,
INT8,16k,DeepSeek-R1-Distill-Qwen-7B,default,34.0,33.666666666666664,34.66666666666667,15.616666666666667,0.2261904761904762,0.49166666666666664,7.000000000000001,0.1789349593495935,,
baseline,16k,Qwen2.5-7B-Instruct,default,100.0,69.0,65.66666666666666,36.583333333333336,44.53095238095238,38.55715754833402,97.0,47.34121951219512,87.8,82.39999999999999
INT4,16k,Qwen2.5-7B-Instruct,default,100.0,69.66666666666667,62.33333333333333,35.3,50.40757575757575,39.913528138528136,95.0,46.41370731707317,87.2,82.6
INT8,16k,Qwen2.5-7B-Instruct,default,100.0,67.66666666666666,63.0,38.78333333333334,46.419444444444444,42.2023199023199,97.0,46.5089918699187,87.6,83.0
baseline,16k,Llama-3.1-8B-Instruct,default,100.0,68.33333333333333,66.0,45.66666666666667,42.82175602175602,36.265812501338814,99.0,51.72991869918698,89.4,81.39999999999999
INT4,16k,Llama-3.1-8B-Instruct,default,100.0,66.66666666666666,64.0,38.233333333333334,31.9759213009213,31.853787878787877,100.0,46.67643089430895,86.8,80.80000000000001
INT8,16k,Llama-3.1-8B-Instruct,default,100.0,68.0,65.66666666666666,44.266666666666666,34.4693722943723,30.4849611402243,100.0,50.17441463414634,90.2,81.39999999999999
baseline,16k,DeepSeek-R1-Distill-Llama-8B,default,99.0,56.99999999999999,57.99999999999999,30.583333333333336,6.275810116096493,17.6280525030525,100.0,46.51131707317073,89.4,84.8
INT4,16k,DeepSeek-R1-Distill-Llama-8B,default,100.0,60.66666666666667,59.0,31.900000000000002,5.652114156912918,17.74801587301587,99.0,46.206910569105695,88.4,85.6
INT8,16k,DeepSeek-R1-Distill-Llama-8B,default,100.0,62.33333333333333,58.333333333333336,32.93333333333334,6.081053312013064,17.977777777777778,98.0,50.671292682926826,89.0,83.39999999999999
baseline,16k,Qwen3-8B,default,100.0,,,52.466666666666676,22.913000677513057,39.8230370120076,100.0,,,
baseline,16k,Yarn-Qwen3-8B,default,100.0,63.33333333333333,62.5,51.416666666666664,20.95846444147528,37.59057406731554,100.0,49.71614634146342,,
INT4,16k,Yarn-Qwen3-8B,default,100.0,63.66666666666667,57.49999999999999,52.916666666666664,22.249878277896855,39.22335899394723,100.0,53.40610569105691,,
INT8,16k,Yarn-Qwen3-8B,default,100.0,62.66666666666667,59.166666666666664,52.95000000000001,20.40437360197422,37.020374070374054,100.0,48.33378861788618,,
baseline,32k,Qwen2.5-7B-Instruct,default,100.0,65.33333333333333,63.83333333333333,34.36666666666666,23.456623931623934,25.316286345233706,97.0,36.201878048780486,90.0,83.39999999999999
INT4,32k,Qwen2.5-7B-Instruct,default,100.0,67.0,59.833333333333336,27.48333333333333,23.993650793650794,25.561417748917748,93.0,34.598073170731716,89.8,83.6
INT8,32k,Qwen2.5-7B-Instruct,default,100.0,67.0,63.66666666666667,35.18333333333334,22.611061161061162,25.95682928182928,97.0,35.666178861788616,90.8,84.8
baseline,32k,Llama-3.1-8B-Instruct,default,100.0,63.33333333333333,63.5,25.983333333333334,5.321428571428571,5.292277167277167,100.0,42.15405691056911,92.60000000000001,86.0
INT4,32k,Llama-3.1-8B-Instruct,default,100.0,63.0,61.33333333333333,23.716666666666665,8.597641247641247,10.252596015096014,100.0,41.00208130081302,91.4,85.39999999999999
INT8,32k,Llama-3.1-8B-Instruct,default,100.0,65.33333333333333,62.16666666666667,24.883333333333333,4.993722943722943,5.695346320346321,100.0,40.016162601626014,92.4,86.2
minference,16k,Qwen2.5-7B-Instruct,default,100.0,60.333333333333336,53.166666666666664,36.71666666666667,40.400396825396825,33.06219336219336,96.0,47.168008130081304,87.8,82.39999999999999
minference,16k,Llama-3.1-8B-Instruct,default,100.0,66.66666666666666,64.33333333333333,42.88333333333334,41.18614996114996,32.91889661765823,99.0,52.40812195121951,88.6,81.8
minference,32k,Qwen2.5-7B-Instruct,default,99.0,65.66666666666666,62.16666666666667,27.766666666666666,10.319696969696968,15.93102453102453,98.0,31.25417073170732,,81.6
minference,32k,Llama-3.1-8B-Instruct,default,100.0,63.33333333333333,61.83333333333333,30.85,10.180555555555555,9.602380952380953,100.0,42.57930894308943,,85.39999999999999
streamingllm_original,16k,Qwen2.5-7B-Instruct,default,100.0,69.0,65.66666666666666,36.583333333333336,44.53095238095238,38.55715754833402,97.0,47.34121951219512,,
streamingllm_original,16k,Llama-3.1-8B-Instruct,default,100.0,68.33333333333333,66.0,45.66666666666667,42.82175602175602,36.265812501338814,99.0,51.72991869918698,,
streamingllm_original,32k,Qwen2.5-7B-Instruct,default,100.0,65.33333333333333,63.83333333333333,34.36666666666666,23.456623931623934,25.316286345233706,97.0,36.201878048780486,,
streamingllm_original,32k,Llama-3.1-8B-Instruct,default,100.0,63.33333333333333,63.5,25.983333333333334,5.321428571428571,5.292277167277167,100.0,42.15405691056911,,
duoattn,16k,Llama-3.1-8B-Instruct,sp0.5_pf32768,100.0,67.66666666666666,67.5,39.35,29.40811688311688,29.12666369578134,100.0,51.30171544715447,87.8,81.2
duoattn,16k,DeepSeek-R1-Distill-Llama-8B,sp0.5_pf32768,99.0,60.333333333333336,60.5,41.233333333333334,5.41606395840142,17.79801587301587,100.0,44.57721138211382,89.2,84.6
duoattn,32k,Llama-3.1-8B-Instruct,sp0.5_pf32768,100.0,63.0,63.83333333333333,18.516666666666666,1.9507936507936505,2.193650793650794,100.0,42.08324390243902,,
snapkv,16k,DeepSeek-R1-Distill-Qwen-7B,w256_c2048_k7_maxpool,5.0,31.0,31.833333333333336,10.549999999999999,0.0,0.0,8.0,0.0,,
snapkv,16k,DeepSeek-R1-Distill-Qwen-7B,w2048_c8192_k7_maxpool,27.0,33.33333333333333,32.5,11.8,0.07692307692307693,0.1111111111111111,7.000000000000001,0.0,,
snapkv,16k,Qwen2.5-7B-Instruct,w32_c4096_k7_maxpool,100.0,67.66666666666666,68.5,35.083333333333336,35.86944444444444,32.782539682539685,90.0,1.2107886178861789,,
snapkv,16k,Qwen2.5-7B-Instruct,w32_c1024_k7_maxpool,99.0,64.0,64.16666666666667,28.26666666666667,17.00952380952381,23.666666666666668,36.0,0.0,,
snapkv,16k,Qwen2.5-7B-Instruct,w32_c4096_k5_avgpool,,66.33333333333333,66.16666666666666,35.68333333333334,36.570707070707066,37.03186813186813,86.0,0.0,,
snapkv,16k,Qwen2.5-7B-Instruct,w256_c2048_k7_maxpool,81.0,64.33333333333333,60.0,29.783333333333335,22.342857142857145,23.990079365079367,17.0,13.359886178861787,83.6,81.0
snapkv,16k,Qwen2.5-7B-Instruct,w2048_c8192_k7_maxpool,89.0,69.66666666666667,63.66666666666667,38.18333333333334,39.95277777777777,40.99600122100122,40.0,45.29167479674797,86.4,82.8
snapkv,16k,Llama-3.1-8B-Instruct,w32_c4096_k7_maxpool,100.0,65.33333333333333,69.0,40.45,30.882178932178935,28.001864420982063,95.0,15.618365853658537,,
snapkv,16k,Llama-3.1-8B-Instruct,w32_c1024_k7_maxpool,100.0,65.0,67.16666666666666,33.800000000000004,3.702777777777778,4.931782106782107,38.0,0.1789349593495935,,
snapkv,16k,Llama-3.1-8B-Instruct,w32_c4096_k5_avgpool,,64.66666666666666,67.5,39.516666666666666,23.21868686868687,24.652777777777775,99.0,16.8300162601626,,
snapkv,16k,Llama-3.1-8B-Instruct,w256_c2048_k7_maxpool,98.0,64.66666666666666,65.66666666666666,35.43333333333333,5.297222222222222,5.798484848484848,28.999999999999996,12.327162601626016,83.6,75.8
snapkv,16k,Llama-3.1-8B-Instruct,w2048_c8192_k7_maxpool,100.0,65.33333333333333,65.0,41.56666666666667,32.408982683982686,28.749417140593607,74.0,43.04859349593496,87.4,81.8
snapkv,16k,DeepSeek-R1-Distill-Llama-8B,w64_c512_k7_maxpool,,,,,,,,,87.2,83.6
snapkv,16k,DeepSeek-R1-Distill-Llama-8B,w128_c512_k7_maxpool,,,,,,,,,86.2,82.8
